uuid,design,event,data,timestamp
0e60-42ee-430f-92b5-7cef,Design 2,page closed,,2024-03-29T18:16:39.558Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T18:16:39.631Z
0e60-42ee-430f-92b5-7cef,Design 1,page closed,,2024-03-29T18:26:38.579Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:26:38.672Z
0e60-42ee-430f-92b5-7cef,Design 1,page closed,,2024-03-29T18:26:40.330Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:26:40.415Z
0e60-42ee-430f-92b5-7cef,Design 1,page closed,,2024-03-29T18:26:42.299Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:26:44.028Z
0e60-42ee-430f-92b5-7cef,Design 1,button clicked,{'button': 'Advanced Edit'},2024-03-29T18:27:30.364Z
0e60-42ee-430f-92b5-7cef,Design 1,button clicked,{'button': 'Close'},2024-03-29T18:31:05.692Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:06.858Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:06.873Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:07.259Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:07.281Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:08.673Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:09.183Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:09.216Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:09.761Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:10.257Z
0e60-42ee-430f-92b5-7cef,Design 1,input-activity in coin description,"{'target': {'0': {'jQuery361076745980421778141': {'events': {'keyup': [{'type': 'keyup', 'origType': 'keyup', 'data': None, 'guid': 5, 'namespace': ''}]}}}, 'length': 1}}",2024-03-29T18:31:10.401Z
