mint,mintLabel
http://nomisma.org/id/uncertain_37_pco,Uncertain Mint 37
http://nomisma.org/id/uncertain_39_pco,Uncertain Mint 39
http://nomisma.org/id/uncertain_40_pco,Uncertain Mint 40
http://nomisma.org/id/abdera_thrace,"Abdera, Thrace"
http://nomisma.org/id/lebedus,Lebedus
http://nomisma.org/id/naucratis,Naucratis
http://nomisma.org/id/telmessus,Telmessus
http://nomisma.org/id/uncertain_26_pco,Uncertain Mint 26
http://nomisma.org/id/sicily,Sicily
http://nomisma.org/id/byzantium,Byzantium
http://nomisma.org/id/uncertain_25_pco,Uncertain Mint 25
http://nomisma.org/id/arsinoe_uncertain_pco,Arsinoe
http://nomisma.org/id/rhithymna,Rhithymna
http://nomisma.org/id/arsinoe_argolis,Arsinoe (Methana)
http://nomisma.org/id/larisa,"Larisa, Ionia"
http://nomisma.org/id/melos,Melos
http://nomisma.org/id/maroneia,Maroneia
http://nomisma.org/id/uncertain_14_pco,Uncertain Mint 14
http://nomisma.org/id/uncertain_6_pco,Uncertain Mint 6
http://nomisma.org/id/thebes,Thebes
http://nomisma.org/id/demetrias_thessaly,Demetrias
http://nomisma.org/id/eastern_mint_demetrius_poliorcetes,Uncertain Eastern Mint
http://nomisma.org/id/geneva,Geneva
http://nomisma.org/id/bern,Bern
http://nomisma.org/id/glarus,Glarus
http://nomisma.org/id/lucerne,Lucerne
http://nomisma.org/id/sion,Sion
http://nomisma.org/id/fribourg,Fribourg
http://nomisma.org/id/zurich,Zürich
http://nomisma.org/id/solothurn,Solothurn
http://nomisma.org/id/schaffhausen,Schaffhausen
http://nomisma.org/id/basel,Basel
http://nomisma.org/id/lausanne,Lausanne
http://nomisma.org/id/saint_maurice,Saint-Maurice
http://nomisma.org/id/sarnen,Sarnen
http://nomisma.org/id/neuchatel,Neuchâtel
http://nomisma.org/id/reichenau,Reichenau
http://nomisma.org/id/chur,Chur
http://nomisma.org/id/appenzell,Appenzell
http://nomisma.org/id/porrentruy,Porrentruy
http://nomisma.org/id/zug,Zug
http://nomisma.org/id/nyon,Nyon
http://nomisma.org/id/cornavin,Cornavin
http://nomisma.org/id/laufenburg_aargau,Laufenburg
http://nomisma.org/id/aarau,Aarau
http://nomisma.org/id/schwyz,Schwyz
http://nomisma.org/id/st_gallen,St. Gallen
http://nomisma.org/id/haldenstein,Haldenstein
http://nomisma.org/id/roveredo,Roveredo
http://nomisma.org/id/bonaduz,Bonaduz
http://nomisma.org/id/avenches,Avenches
http://nomisma.org/id/altdorf,Altdorf
http://nomisma.org/id/bellinzona,Bellinzona
http://nomisma.org/id/cham,Cham
http://nomisma.org/id/stuttgart,Stuttgart
http://nomisma.org/id/baar,Baar
http://nomisma.org/id/zofingen,Zofingen
http://nomisma.org/id/paris,Paris
http://nomisma.org/id/lyon,Lyon
http://nomisma.org/id/diessenhofen,Diessenhofen
http://nomisma.org/id/rheinau,Rheinau
http://nomisma.org/id/windisch,Windisch
http://nomisma.org/id/neu-toggenburg,Neu-Toggenburg
http://nomisma.org/id/delemont,Delémont
http://nomisma.org/id/alt-toggenburg,Alt-Toggenburg
http://nomisma.org/id/st_ursanne,Saint-Ursanne
http://nomisma.org/id/orbe,Orbe
http://nomisma.org/id/strasbourg,Strasbourg
http://nomisma.org/id/london,London
http://nomisma.org/id/wangen_an_der_aare,Wangen an der Aare
http://nomisma.org/id/burgdorf,Burgdorf
http://nomisma.org/id/stein_am_rhein,Stein am Rhein
http://nomisma.org/id/einsiedeln,Einsiedeln
http://nomisma.org/id/brussels,Brussels
http://nomisma.org/id/vienna,Vienna
http://nomisma.org/id/freiburg_breisgau,Freiburg im Breisgau
http://nomisma.org/id/celenderis,Celenderis
http://nomisma.org/id/petelia,Petelia
http://nomisma.org/id/melita,Melita
http://nomisma.org/id/clannudda,Clannudda
http://nomisma.org/id/abacaenum,Abacaenum
http://nomisma.org/id/terina,Terina
http://nomisma.org/id/vibo_valentia,Vibo Valentia
http://nomisma.org/id/caulonia,Caulonia
http://nomisma.org/id/croton,Croton
http://nomisma.org/id/hipponium,Hipponium
http://nomisma.org/id/locri_epizephyrii,Locri Epizephyrii
http://nomisma.org/id/apameia_myrlea,Apameia (Myrleia)
http://nomisma.org/id/morgantina,Morgantina
http://nomisma.org/id/thurium,Thurium
http://nomisma.org/id/xanthus,Xanthus
http://nomisma.org/id/luca,Luca
http://nomisma.org/id/poseidonia,Poseidonia
http://nomisma.org/id/amastris,Amastris
http://nomisma.org/id/stratus,Stratus
http://nomisma.org/id/tyndaris,Tyndaris
http://nomisma.org/id/catana,Catana
http://nomisma.org/id/gomphi,Gomphi
http://nomisma.org/id/syracuse,Syracuse
http://nomisma.org/id/himera,Himera
http://nomisma.org/id/barce,Barce
http://nomisma.org/id/cranii,Cranii
http://nomisma.org/id/tauromenium,Tauromenium
http://nomisma.org/id/petra_sicily,Petra
http://nomisma.org/id/thermae_himerenses,Thermae Himerenses
http://nomisma.org/id/elis_elis,Elis
http://nomisma.org/id/heraclea_lucaniae,Heraclea Lucaniae
http://nomisma.org/id/rhegium,Rhegium
http://nomisma.org/id/lissus,Lissus
http://nomisma.org/id/samsosata,Samosata
http://nomisma.org/id/panormus,Panormus
http://nomisma.org/id/petra_arabia,Petra
http://nomisma.org/id/cierium,Cierium
http://nomisma.org/id/praesus,Praesus
http://nomisma.org/id/graxa,Graxa
http://nomisma.org/id/balbura,Balbura
http://nomisma.org/id/hyria_campania,"Hyria Campania (Hyrietes, Hyrianoi)"
http://nomisma.org/id/cherronesus,"Chersonesus, Tauric"
http://nomisma.org/id/tarquinii,Tarquinii
http://nomisma.org/id/venusia,Venusia
http://nomisma.org/id/abbaitis,Abbaitis
http://nomisma.org/id/nysa,Nysa
http://nomisma.org/id/pharnaceia,Pharnaceia
http://nomisma.org/id/populonia,Populonia
http://nomisma.org/id/leucae,Leucae
http://nomisma.org/id/bubon,Bubon
http://nomisma.org/id/cydonia,Cydonia
http://nomisma.org/id/velia,Velia
http://nomisma.org/id/lete,Lete
http://nomisma.org/id/pherae,Pherae
http://nomisma.org/id/tuder,Tuder
http://nomisma.org/id/aeneia,Aeneia
http://nomisma.org/id/larissa_thessaly,"Larissa, Thessaly"
http://nomisma.org/id/seleuceia_sidera,Seleuceia Sidera
http://nomisma.org/id/olbia,Olbia
http://nomisma.org/id/panticapaeum,Panticapaeum
http://nomisma.org/id/taras,Taras
http://nomisma.org/id/theodosia,Theodosia
http://nomisma.org/id/apollonia_illyria,"Apollonia, Illyria"
